Sr,Stroke No.,Date,Advance Time,Excavation per Stroke,Boring Energy,RPM,Torque,Thrust Force,Speed,Gripper Pressure,Total Revolution,Front Shield Pressure LHS,Front Shield Pressure rHS,Q-Value,Q-Value based,Penetration
,,,,,,,,,,,,,,,,
1,3812,2016-01-23 00:00:00,16,1.612,1.3,2.3,500,3600,101,253,37,80,58,4,5,44.5
2,3813,2016-01-23 00:00:00,78,1.559,9.9,2.3,800,3224,20,242,179,60,62,4,4,8.6
3,3814,2016-01-23 00:00:00,43,0.901,9.3,2,900,2895,21,245,86,69,69,4,5,10.5
4,3815,2016-01-24 00:00:00,80,1.396,15.6,2,1300,2962,18,245,160,59,66,4,3,8.9
5,3816,2016-01-24 00:00:00,71,1.526,7.1,2.3,600,3709,21,456,163,75,78,4,5,9.4
6,3817,2016-01-25 00:00:00,37,0.909,11.4,2.4,1100,3866,25,322,89,74,58,4,4,10.3
1,3819,2016-05-02 00:00:00,58,1.406,6.3,2,700,3229,24,243,116,79,74,4,5,12.2
2,3820,2016-06-02 00:00:00,60,1.444,11.9,2.2,1200,3054,24,245,132,75,75,4,4,11
3,3821,2016-09-02 00:00:00,58,1.493,8.6,2.2,900,2809,25,243,128,71,75,4,5,11.7
4,3822,2016-10-02 00:00:00,61,1.513,10.9,2.2,1100,3397,24,244,134,71,65,4,4,11.2
5,3823,2016-12-02 00:00:00,64,1.524,9.5,2.1,1000,3674,24,244,134,71,56,4,4,11.3
6,3824,2016-12-02 00:00:00,58,1.392,8.3,2.3,800,2887,24,246,133,55,81,4,5,10.6
7,3825,2016-02-13 00:00:00,54,1.416,10.5,2.3,1100,3032,26,234,124,58,82,4,4,11.2
8,3826,2016-02-14 00:00:00,60,1.42,7.9,2.2,800,2566,24,223,132,68,79,4,5,10.8
9,3827,2016-02-14 00:00:00,58,1.39,9.4,2.1,1000,2596,24,215,122,50,63,4,5,11.4
10,3828,2016-02-15 00:00:00,52,1.442,9.3,2.4,1000,2830,28,225,125,66,70,4,5,11.8
11,3829,2016-02-15 00:00:00,37,1.005,9.7,2.2,1100,2707,27,245,81,77,80,4,4,12.4
12,3830,2016-02-16 00:00:00,67,1.407,8.6,2.1,800,2858,21,244,141,53,76,4,5,10.1
13,3831,2016-02-19 00:00:00,60,1.413,9.9,2,1100,3039,24,243,120,66,77,4,4,11.7
14,3832,2016-02-19 00:00:00,54,1.404,11.9,2.2,1300,3296,26,243,119,57,75,4,4,11.8
15,3833,2016-02-20 00:00:00,43,1.104,10,2.1,1100,3485,25,246,90,62,71,4,4,12.4
16,3834,2016-02-20 00:00:00,65,1.668,9.1,2.2,1000,3411,26,247,143,67,78,4,5,11.5
17,3835,2016-02-21 00:00:00,35,1.004,10.3,2.3,1200,2944,29,245,81,55,79,4,4,12.7
18,3836,2016-02-21 00:00:00,39,1.004,13.1,2.1,1500,2695,26,243,82,55,82,4,4,12.4
19,3837,2016-02-22 00:00:00,43,1.002,10.8,2.1,1100,2927,23,244,90,70,83,4,4,10.9
20,3838,2016-02-22 00:00:00,77,1.649,14.7,2.2,1300,3605,21,245,169,58,81,4,3,9.8
21,3839,2016-02-22 00:00:00,50,1.356,15.6,2.3,1700,3600,27,245,115,44,78,4,3,11.7
22,3840,2016-02-23 00:00:00,39,1.101,14.2,2.3,1600,3574,28,245,90,58,77,4,3,12.6
23,3841,2016-02-23 00:00:00,38,0.999,10.5,2.3,1100,3361,26,244,87,77,61,4,4,11.2
24,3842,2016-02-24 00:00:00,73,1.739,12.3,2.1,1300,3184,24,247,153,76,70,4,4,11.2
25,3843,2016-02-24 00:00:00,51,1.296,13.3,2.2,1400,3141,25,245,112,80,58,4,4,11.7
26,3844,2016-02-25 00:00:00,73,1.728,13.2,2.1,1400,3321,24,246,153,84,72,4,4,11.1
27,3845,2016-02-25 00:00:00,46,1.316,11.1,2.3,1300,3243,29,245,106,75,42,4,4,12.3
28,3846,2016-02-25 00:00:00,59,1.725,9.4,2.3,1100,3496,29,246,136,61,71,4,5,12.5
29,3847,2016-02-26 00:00:00,49,1.319,13.2,2.2,1500,3733,27,246,108,74,82,4,4,12.2
30,3848,2016-02-26 00:00:00,39,1.047,10.9,2.1,1300,3549,27,245,82,73,83,4,4,12.7
31,3849,2016-02-26 00:00:00,69,1.717,12.3,2.2,1300,3554,25,247,152,81,77,4,4,11.5
32,3850,2016-02-26 00:00:00,52,1.337,13.5,2.5,1300,3524,26,245,130,68,70,4,4,10.2
33,3851,2016-02-26 00:00:00,62,1.726,13.3,2.3,1500,3188,28,247,143,53,72,4,4,12.2
34,3852,2016-02-26 00:00:00,50,1.305,13.4,2.3,1400,3200,26,246,115,67,83,4,4,11.3
35,3853,2016-02-27 00:00:00,36,1.026,14.5,2.3,1700,3470,29,245,83,56,82,4,3,12.6
36,3854,2016-02-27 00:00:00,76,1.741,13.8,2.1,1400,3427,23,250,160,76,79,4,3,10.8
37,3855,2016-02-27 00:00:00,53,1.409,11.4,2.2,1300,3367,27,248,117,78,57,4,4,12.3
38,3856,2016-02-27 00:00:00,53,1.417,12.3,2.2,1400,3473,27,244,117,72,31,4,4,11.9
39,3857,2016-02-28 00:00:00,29,0.72,14.5,2.1,1600,3658,25,244,61,87,60,4,3,11.6
40,3858,2016-02-28 00:00:00,28,0.8,14.2,2.3,1600,3830,28,246,64,92,74,4,3,12.4
41,3859,2016-02-28 00:00:00,56,1.414,11.9,2.3,1200,3643,25,245,129,76,64,4,4,11
42,3860,2016-02-28 00:00:00,55,1.412,16.2,2.3,1700,4179,26,247,127,65,79,4,3,11
43,3861,2016-02-29 00:00:00,54,1.444,14.9,2.2,1700,3971,27,245,119,34,97,4,3,12
1,3865,2016-01-03 00:00:00,50,1.393,10.2,2.2,1200,3464,28,247,110,81,82,4,4,12.6
2,3866,2016-02-03 00:00:00,56,1.428,11.4,2.4,1100,3722,25,246,134,77,45,4,4,10.6
3,3867,2016-03-03 00:00:00,61,1.619,10.9,2.1,1300,4025,27,246,128,81,78,4,4,12.4
4,3868,2016-03-03 00:00:00,50,1.417,11.1,2.4,1200,3583,28,245,120,70,74,4,4,11.9
5,3869,2016-03-03 00:00:00,48,1.422,8.6,2.3,1000,3199,29,245,110,74,74,4,5,12.6
6,3870,2016-04-03 00:00:00,48,1.415,12.5,2.4,1400,3238,29,246,115,80,86,4,4,12.2
7,3871,2016-04-03 00:00:00,54,1.565,11.6,2.4,1300,3084,29,245,130,80,83,4,4,11.9
8,3872,2016-04-03 00:00:00,57,1.525,9.2,2.3,1000,2553,27,248,131,67,80,4,5,11.7
9,3873,2016-04-03 00:00:00,46,1.408,10.3,2.2,1300,2640,30,249,101,64,75,4,4,13.5
10,3874,2016-04-03 00:00:00,46,1.444,9.6,2.3,1200,2808,31,247,106,72,74,4,4,13.7
11,3875,2016-05-03 00:00:00,57,1.735,12.9,2.4,1500,3212,30,246,137,74,84,4,4,12.9
12,3876,2016-05-03 00:00:00,40,1.145,13.5,2.5,1400,3485,28,245,100,77,86,4,3,11.3
13,3877,2016-05-03 00:00:00,25,1.013,9.7,3,1200,3049,40,209,75,77,80,4,4,13.4
14,3878,2016-05-03 00:00:00,25,1.017,13.3,3,1600,2903,39,206,75,75,59,4,4,13
15,3879,2016-05-03 00:00:00,27,1.026,11.4,3.1,1300,2812,38,206,84,69,61,4,4,12.5
16,3880,2016-05-03 00:00:00,24,1.017,10.6,3.1,1300,2994,41,207,74,68,69,4,4,13.3
17,3881,2016-06-03 00:00:00,27,1.031,11.4,3.1,1300,3315,38,207,84,69,83,4,4,12.2
18,3882,2016-06-03 00:00:00,27,1.002,14.5,3.1,1600,3426,37,206,84,75,90,4,3,11.9
19,3883,2016-06-03 00:00:00,27,1.044,12.3,3.1,1400,3505,38,207,84,73,88,4,4,12.3
20,3884,2016-06-03 00:00:00,28,1.038,10.9,3.4,1100,3290,37,205,95,75,78,4,4,10.8
21,3885,2016-07-03 00:00:00,27,1.028,13.5,3.4,1400,3407,38,208,92,78,83,4,3,11.3
22,3886,2016-07-03 00:00:00,28,1.117,13.2,3.4,1400,3524,39,205,95,81,74,4,4,11.5
